"","Intercept","treatment_level","species_level","bias_level"
"49",-0.474570328409995,"CORT Cold","delicata","Red"
"50",-0.135012928630653,"CORT Cold","delicata","Red"
"51",-0.211662996733017,"CORT Cold","delicata","Red"
"52",-0.000796410748061152,"CORT Cold","delicata","Red"
"53",-0.951768251667562,"CORT Cold","delicata","Red"
"54",-0.718536955891743,"CORT Cold","delicata","Red"
"55",-0.205657255879766,"CORT Cold","delicata","Red"
"56",-0.572717764633983,"CORT Cold","delicata","Red"
"57",-0.3449182346539,"CORT Cold","delicata","Red"
"58",-0.165144320787064,"CORT Cold","delicata","Red"
"59",-0.336260498030303,"CORT Cold","delicata","Red"
"60",-0.652731828224378,"CORT Cold","delicata","Red"
"61",-0.308899466846482,"CORT Cold","delicata","Red"
"62",-0.475593916347188,"CORT Cold","delicata","Red"
"63",-0.610863361631607,"CORT Cold","delicata","Red"
"64",-0.585935958690978,"CORT Cold","delicata","Red"
"65",-0.659562043045245,"CORT Cold","delicata","Red"
"66",-0.226456749438376,"CORT Cold","delicata","Red"
"67",-0.252416723033821,"CORT Cold","delicata","Red"
"68",-0.642681238600356,"CORT Cold","delicata","Red"
"69",-0.542500010080601,"CORT Cold","delicata","Red"
"70",-0.644705490716019,"CORT Cold","delicata","Red"
"71",-0.58743795466054,"CORT Cold","delicata","Red"
"72",-0.243455020563055,"CORT Cold","delicata","Red"
"73",-0.279611652878688,"CORT Cold","delicata","Red"
"74",-0.246076918406745,"CORT Cold","delicata","Red"
"75",-0.344210801596616,"CORT Cold","delicata","Red"
"76",-0.519145478107557,"CORT Cold","delicata","Red"
"77",-0.338958586870022,"CORT Cold","delicata","Red"
"78",-0.0362685240949521,"CORT Cold","delicata","Red"
"79",-0.0992469622096064,"CORT Cold","delicata","Red"
"80",-0.325321754855219,"CORT Cold","delicata","Red"
"81",-0.589685111258499,"CORT Cold","delicata","Red"
"82",-0.579064549344767,"CORT Cold","delicata","Red"
"83",-0.316397819383582,"CORT Cold","delicata","Red"
"84",-0.347052098055693,"CORT Cold","delicata","Red"
"85",-0.275275724836956,"CORT Cold","delicata","Red"
"86",-0.279740448577525,"CORT Cold","delicata","Red"
"87",-0.274304171098064,"CORT Cold","delicata","Red"
"88",-0.555421792211829,"CORT Cold","delicata","Red"
"89",-0.56731879464537,"CORT Cold","delicata","Red"
"90",-0.295109937895214,"CORT Cold","delicata","Red"
"91",-0.462894588538557,"CORT Cold","delicata","Red"
"92",-0.211168218617181,"CORT Cold","delicata","Red"
"93",-0.388625405942898,"CORT Cold","delicata","Red"
"94",-0.256873757118485,"CORT Cold","delicata","Red"
"95",-0.488561147407217,"CORT Cold","delicata","Red"
"96",-0.390319145945313,"CORT Cold","delicata","Red"
"97",-0.367604807613857,"CORT Cold","delicata","Red"
"98",-0.536393848416839,"CORT Cold","delicata","Red"
"99",-0.352877821641621,"CORT Cold","delicata","Red"
"100",-0.393377239225265,"CORT Cold","delicata","Red"
"101",-0.417485297311084,"CORT Cold","delicata","Red"
"102",-0.342167879690558,"CORT Cold","delicata","Red"
"103",-0.532817343922552,"CORT Cold","delicata","Red"
"104",0.00108204963236603,"CORT Cold","delicata","Red"
"105",-0.637362498536988,"CORT Cold","delicata","Red"
"106",-0.13339488693306,"CORT Cold","delicata","Red"
"107",-0.665219209080769,"CORT Cold","delicata","Red"
"108",-0.00438349587990737,"CORT Cold","delicata","Red"
"109",-0.742559363758548,"CORT Cold","delicata","Red"
"110",-0.75029419445521,"CORT Cold","delicata","Red"
"111",-0.20260525902431,"CORT Cold","delicata","Red"
"112",-0.567156518429062,"CORT Cold","delicata","Red"
"113",-0.651510902943407,"CORT Cold","delicata","Red"
"114",-0.790028835795032,"CORT Cold","delicata","Red"
"115",-0.483141382765429,"CORT Cold","delicata","Red"
"116",-0.390364369269458,"CORT Cold","delicata","Red"
"117",-0.267355231274843,"CORT Cold","delicata","Red"
"118",-0.662463991022621,"CORT Cold","delicata","Red"
"119",-0.240338782111417,"CORT Cold","delicata","Red"
"120",-0.636657460585397,"CORT Cold","delicata","Red"
"121",-0.63152520240689,"CORT Cold","delicata","Red"
"122",-0.778848977872841,"CORT Cold","delicata","Red"
"123",-0.217673679646278,"CORT Cold","delicata","Red"
"124",-0.269529494909002,"CORT Cold","delicata","Red"
"125",-0.318267292355384,"CORT Cold","delicata","Red"
"126",-0.385906205964969,"CORT Cold","delicata","Red"
"127",-0.214073920157061,"CORT Cold","delicata","Red"
"128",-0.363232201249072,"CORT Cold","delicata","Red"
"129",-0.539707986300663,"CORT Cold","delicata","Red"
"130",-0.0688281284530902,"CORT Cold","delicata","Red"
"131",-0.410081412479179,"CORT Cold","delicata","Red"
"132",-0.417837583050191,"CORT Cold","delicata","Red"
"133",-0.560541403909481,"CORT Cold","delicata","Red"
"134",-0.566621852882634,"CORT Cold","delicata","Red"
"135",-0.237632386565517,"CORT Cold","delicata","Red"
"136",-0.408851409066979,"CORT Cold","delicata","Red"
"137",-0.41907014423516,"CORT Cold","delicata","Red"
"138",-0.659467809851081,"CORT Cold","delicata","Red"
"139",-0.0895730435036949,"CORT Cold","delicata","Red"
"140",-0.241567789757812,"CORT Cold","delicata","Red"
"141",-0.334577209145248,"CORT Cold","delicata","Red"
"142",-0.32840992550076,"CORT Cold","delicata","Red"
"143",-0.525659508721341,"CORT Cold","delicata","Red"
"144",-0.0654491449012859,"CORT Cold","delicata","Red"
"145",-0.386193639229857,"CORT Cold","delicata","Red"
"146",-0.430626484263861,"CORT Cold","delicata","Red"
"147",-0.259084288357133,"CORT Cold","delicata","Red"
"148",-0.562627546500353,"CORT Cold","delicata","Red"
"149",-0.429553322200006,"CORT Cold","delicata","Red"
"150",-0.546630387633921,"CORT Cold","delicata","Red"
"151",-0.427275906676919,"CORT Cold","delicata","Red"
"152",-0.298406562472774,"CORT Cold","delicata","Red"
"153",-0.594403717097289,"CORT Cold","delicata","Red"
"154",-0.452021387783553,"CORT Cold","delicata","Red"
"155",-0.416147094307801,"CORT Cold","delicata","Red"
"156",-0.301249470238346,"CORT Cold","delicata","Red"
"157",-0.135910653493885,"CORT Cold","delicata","Red"
"158",-0.44149822253833,"CORT Cold","delicata","Red"
"159",-0.463083969425263,"CORT Cold","delicata","Red"
"160",-0.528582403317139,"CORT Cold","delicata","Red"
"161",-0.491279159745986,"CORT Cold","delicata","Red"
"162",-0.433473885907881,"CORT Cold","delicata","Red"
"163",-0.202802977906975,"CORT Cold","delicata","Red"
"164",-0.421416146663128,"CORT Cold","delicata","Red"
"165",-0.411239202919653,"CORT Cold","delicata","Red"
"166",-0.360054130460845,"CORT Cold","delicata","Red"
"167",-0.314779583642361,"CORT Cold","delicata","Red"
"168",-0.248640227167181,"CORT Cold","delicata","Red"
"169",-0.506075272457709,"CORT Cold","delicata","Red"
"170",-0.444663773194822,"CORT Cold","delicata","Red"
"171",-0.606851339117213,"CORT Cold","delicata","Red"
"172",-0.468687587683808,"CORT Cold","delicata","Red"
"173",-0.655008466694611,"CORT Cold","delicata","Red"
"174",-0.187317277533847,"CORT Cold","delicata","Red"
"175",-0.410564335657263,"CORT Cold","delicata","Red"
"176",-0.332559451824341,"CORT Cold","delicata","Red"
"177",-0.0993069718042568,"CORT Cold","delicata","Red"
"178",-0.526447451524289,"CORT Cold","delicata","Red"
"179",-0.448352623508165,"CORT Cold","delicata","Red"
"180",-0.658946787572487,"CORT Cold","delicata","Red"
"181",-0.146369138631224,"CORT Cold","delicata","Red"
"182",-0.354190133049642,"CORT Cold","delicata","Red"
"183",-0.325708381435376,"CORT Cold","delicata","Red"
"184",-0.630153285689815,"CORT Cold","delicata","Red"
"185",-0.238197937463005,"CORT Cold","delicata","Red"
"186",-0.275064143933478,"CORT Cold","delicata","Red"
"187",-0.59248989484047,"CORT Cold","delicata","Red"
"188",-0.194305788550932,"CORT Cold","delicata","Red"
"189",-0.531850240090441,"CORT Cold","delicata","Red"
"190",-0.37892809584278,"CORT Cold","delicata","Red"
"191",-0.556833463472894,"CORT Cold","delicata","Red"
"192",-0.539911794688728,"CORT Cold","delicata","Red"
"193",-0.253514403798187,"CORT Cold","delicata","Red"
"194",-0.692163584015185,"CORT Cold","delicata","Red"
"195",-0.724776602043105,"CORT Cold","delicata","Red"
"196",-0.827030262275284,"CORT Cold","delicata","Red"
"197",-0.146896889952088,"CORT Cold","delicata","Red"
"198",0.0419745917389296,"CORT Cold","delicata","Red"
"199",-0.572222519022742,"CORT Cold","delicata","Red"
"200",-0.432795796577364,"CORT Cold","delicata","Red"
"201",-0.336752458295706,"CORT Cold","delicata","Red"
"202",-0.357940992945556,"CORT Cold","delicata","Red"
"203",-0.435197843160233,"CORT Cold","delicata","Red"
"204",-0.806790398477294,"CORT Cold","delicata","Red"
"205",-0.429813673195591,"CORT Cold","delicata","Red"
"206",-0.215901048555495,"CORT Cold","delicata","Red"
"207",-0.434162878406703,"CORT Cold","delicata","Red"
"208",-0.487484548713746,"CORT Cold","delicata","Red"
"209",-0.61327292474062,"CORT Cold","delicata","Red"
"210",-0.761036538911077,"CORT Cold","delicata","Red"
"211",-0.553454196674571,"CORT Cold","delicata","Red"
"212",-0.44797762782438,"CORT Cold","delicata","Red"
"213",-0.650535737033721,"CORT Cold","delicata","Red"
"214",-0.648523789083672,"CORT Cold","delicata","Red"
"215",-0.0695399837412123,"CORT Cold","delicata","Red"
"216",-0.15809538450734,"CORT Cold","delicata","Red"
"217",-0.540794115477034,"CORT Cold","delicata","Red"
"218",-0.107203686915863,"CORT Cold","delicata","Red"
"219",-0.288626423134642,"CORT Cold","delicata","Red"
"220",-0.654483727516505,"CORT Cold","delicata","Red"
"221",-0.364243970399946,"CORT Cold","delicata","Red"
"222",-0.325716383281205,"CORT Cold","delicata","Red"
"223",-0.335530807034077,"CORT Cold","delicata","Red"
"224",-0.378687621455738,"CORT Cold","delicata","Red"
"225",-0.162474771423159,"CORT Cold","delicata","Red"
"226",-0.368513728955307,"CORT Cold","delicata","Red"
"227",-0.318512525812598,"CORT Cold","delicata","Red"
"228",-0.440566155562002,"CORT Cold","delicata","Red"
"229",-0.3940182326487,"CORT Cold","delicata","Red"
"230",-0.378609098423558,"CORT Cold","delicata","Red"
"231",-0.31147970918598,"CORT Cold","delicata","Red"
"232",-0.258421927797783,"CORT Cold","delicata","Red"
"233",-0.408750958849969,"CORT Cold","delicata","Red"
"234",0.0454015365143023,"CORT Cold","delicata","Red"
"235",-0.692053849911975,"CORT Cold","delicata","Red"
"236",-0.62224090061666,"CORT Cold","delicata","Red"
"237",-0.124505922948095,"CORT Cold","delicata","Red"
"238",-0.367602153639033,"CORT Cold","delicata","Red"
"239",-0.396641204052298,"CORT Cold","delicata","Red"
"240",-0.284657862074323,"CORT Cold","delicata","Red"
"241",-0.25252988103566,"CORT Cold","delicata","Red"
"242",-0.382596596869924,"CORT Cold","delicata","Red"
"243",-0.567421495217779,"CORT Cold","delicata","Red"
"244",-0.291209352537146,"CORT Cold","delicata","Red"
"245",-0.507971669246915,"CORT Cold","delicata","Red"
"246",-0.532132093575214,"CORT Cold","delicata","Red"
"247",-0.631231197985494,"CORT Cold","delicata","Red"
"248",-0.263440817079664,"CORT Cold","delicata","Red"
"249",-0.646136659990358,"CORT Cold","delicata","Red"
"250",-0.561197224883723,"CORT Cold","delicata","Red"
"251",-0.525865999046628,"CORT Cold","delicata","Red"
"252",-0.493533199603804,"CORT Cold","delicata","Red"
"253",-0.383238167325901,"CORT Cold","delicata","Red"
"254",-0.595856100648138,"CORT Cold","delicata","Red"
"255",-0.206082434762613,"CORT Cold","delicata","Red"
"256",-0.216668881531797,"CORT Cold","delicata","Red"
"257",-0.549732636153385,"CORT Cold","delicata","Red"
"258",-0.233753467149932,"CORT Cold","delicata","Red"
"259",-0.251037090070913,"CORT Cold","delicata","Red"
"260",-0.34206782574632,"CORT Cold","delicata","Red"
"261",-0.364502349347226,"CORT Cold","delicata","Red"
"262",-0.296336976800523,"CORT Cold","delicata","Red"
"263",-0.471220790935983,"CORT Cold","delicata","Red"
"264",-0.394893753876161,"CORT Cold","delicata","Red"
"265",-0.466641990852159,"CORT Cold","delicata","Red"
"266",-0.372563521954185,"CORT Cold","delicata","Red"
"267",-0.220239942661857,"CORT Cold","delicata","Red"
"268",-0.509489153002618,"CORT Cold","delicata","Red"
"269",-0.578238539067248,"CORT Cold","delicata","Red"
"270",-0.212712563698585,"CORT Cold","delicata","Red"
"271",-0.172669292324825,"CORT Cold","delicata","Red"
"272",-0.285102810772725,"CORT Cold","delicata","Red"
"273",-0.334090027517601,"CORT Cold","delicata","Red"
"274",-0.304182594457625,"CORT Cold","delicata","Red"
"275",-0.446175693218958,"CORT Cold","delicata","Red"
"276",-0.62450273348289,"CORT Cold","delicata","Red"
"277",-0.0953567765455099,"CORT Cold","delicata","Red"
"278",-0.522107848315766,"CORT Cold","delicata","Red"
"279",-0.3104345956778,"CORT Cold","delicata","Red"
"280",-0.601004724058137,"CORT Cold","delicata","Red"
"281",-0.156246327868648,"CORT Cold","delicata","Red"
"282",-0.848654658763438,"CORT Cold","delicata","Red"
"283",-0.121764119145186,"CORT Cold","delicata","Red"
"284",-0.639450153865893,"CORT Cold","delicata","Red"
"285",-0.10030984743629,"CORT Cold","delicata","Red"
"286",-0.430974717855721,"CORT Cold","delicata","Red"
"287",-0.404352020850498,"CORT Cold","delicata","Red"
"288",-0.398756403770987,"CORT Cold","delicata","Red"
"289",-0.475395214487497,"CORT Cold","delicata","Red"
"290",-0.317732055033718,"CORT Cold","delicata","Red"
"291",-0.398265852798055,"CORT Cold","delicata","Red"
"292",-0.521176818462956,"CORT Cold","delicata","Red"
"293",-0.602071973609111,"CORT Cold","delicata","Red"
"294",-0.269005455470489,"CORT Cold","delicata","Red"
"295",-0.46906353371682,"CORT Cold","delicata","Red"
"296",-0.360286515476735,"CORT Cold","delicata","Red"
"297",-0.108171229560674,"CORT Cold","delicata","Red"
"298",0.00984960547337982,"CORT Cold","delicata","Red"
"299",-0.613684633887444,"CORT Cold","delicata","Red"
"300",-0.161562637883113,"CORT Cold","delicata","Red"
"301",-0.598236328132422,"CORT Cold","delicata","Red"
"302",-0.168919189352341,"CORT Cold","delicata","Red"
"303",-0.216183933653552,"CORT Cold","delicata","Red"
"304",-0.253837695830021,"CORT Cold","delicata","Red"
"305",-0.237139024972201,"CORT Cold","delicata","Red"
"306",-0.575635907788398,"CORT Cold","delicata","Red"
"307",-0.193018453081296,"CORT Cold","delicata","Red"
"308",-0.441460614085634,"CORT Cold","delicata","Red"
"309",-0.527752406974316,"CORT Cold","delicata","Red"
"310",-0.222728689472174,"CORT Cold","delicata","Red"
"311",-0.537212870753472,"CORT Cold","delicata","Red"
"312",-0.301479558290111,"CORT Cold","delicata","Red"
"313",-0.00667574768713725,"CORT Cold","delicata","Red"
"314",-0.421052762398159,"CORT Cold","delicata","Red"
"315",-0.415033058980077,"CORT Cold","delicata","Red"
"316",-0.324627466015709,"CORT Cold","delicata","Red"
"317",-0.267251798835422,"CORT Cold","delicata","Red"
"318",-0.2294703601902,"CORT Cold","delicata","Red"
"319",-0.354540152386459,"CORT Cold","delicata","Red"
"320",-0.123319794649584,"CORT Cold","delicata","Red"
"321",-0.135254861036205,"CORT Cold","delicata","Red"
"322",-0.580104141060116,"CORT Cold","delicata","Red"
"323",-0.281681140849816,"CORT Cold","delicata","Red"
"324",-0.44039903768063,"CORT Cold","delicata","Red"
"325",-0.63942188956905,"CORT Cold","delicata","Red"
"326",-0.270501281254441,"CORT Cold","delicata","Red"
"327",-0.300844934282821,"CORT Cold","delicata","Red"
"328",-0.517446803678747,"CORT Cold","delicata","Red"
"329",-0.318220042051718,"CORT Cold","delicata","Red"
"330",-0.0510399306905872,"CORT Cold","delicata","Red"
"331",-0.777982420897996,"CORT Cold","delicata","Red"
"332",-0.614459531921641,"CORT Cold","delicata","Red"
"333",-0.396966773972378,"CORT Cold","delicata","Red"
"334",-0.411608829901378,"CORT Cold","delicata","Red"
"335",-0.131581768254182,"CORT Cold","delicata","Red"
"336",-0.577712203095496,"CORT Cold","delicata","Red"
"337",-0.570980983186523,"CORT Cold","delicata","Red"
"338",-0.592044584678927,"CORT Cold","delicata","Red"
"339",-0.503166362045656,"CORT Cold","delicata","Red"
"340",-0.537911360913222,"CORT Cold","delicata","Red"
"341",-0.532717922095135,"CORT Cold","delicata","Red"
"342",-0.371432198445615,"CORT Cold","delicata","Red"
"343",-0.598522051521096,"CORT Cold","delicata","Red"
"344",-0.640856469013135,"CORT Cold","delicata","Red"
"345",-0.540366173543413,"CORT Cold","delicata","Red"
"346",-0.276175258830941,"CORT Cold","delicata","Red"
"347",-0.461913927803671,"CORT Cold","delicata","Red"
"348",-0.45524614008466,"CORT Cold","delicata","Red"
"349",-0.373636533840104,"CORT Cold","delicata","Red"
"350",-0.33972187429176,"CORT Cold","delicata","Red"
"351",-0.414765515961568,"CORT Cold","delicata","Red"
"352",-0.201354893012811,"CORT Cold","delicata","Red"
"353",-0.548078648045758,"CORT Cold","delicata","Red"
"354",-0.373863359225931,"CORT Cold","delicata","Red"
"355",-0.370705679719319,"CORT Cold","delicata","Red"
"356",-0.454265992413095,"CORT Cold","delicata","Red"
"357",-0.335636816153614,"CORT Cold","delicata","Red"
"358",-0.580721545256194,"CORT Cold","delicata","Red"
"359",-0.577587801722302,"CORT Cold","delicata","Red"
"360",-0.35288026744136,"CORT Cold","delicata","Red"
"361",0.00635290164601632,"CORT Cold","delicata","Red"
"362",-0.240460406328323,"CORT Cold","delicata","Red"
"363",-0.586489079690683,"CORT Cold","delicata","Red"
"364",-0.318627002322707,"CORT Cold","delicata","Red"
"365",-0.448835439856918,"CORT Cold","delicata","Red"
"366",-0.331437131135137,"CORT Cold","delicata","Red"
"367",-0.308112813758543,"CORT Cold","delicata","Red"
"368",-0.283979663777074,"CORT Cold","delicata","Red"
"369",-0.218798508251506,"CORT Cold","delicata","Red"
"370",-0.443310339436813,"CORT Cold","delicata","Red"
"371",-0.57631360588536,"CORT Cold","delicata","Red"
"372",-0.359744209702858,"CORT Cold","delicata","Red"
"373",-0.416138470884126,"CORT Cold","delicata","Red"
"374",-0.472092124369892,"CORT Cold","delicata","Red"
"375",-0.337128216678872,"CORT Cold","delicata","Red"
"376",-0.566855642902277,"CORT Cold","delicata","Red"
"377",-0.632630614763672,"CORT Cold","delicata","Red"
"378",-0.356447358563013,"CORT Cold","delicata","Red"
"379",-0.294791746351427,"CORT Cold","delicata","Red"
"380",-0.615789835232061,"CORT Cold","delicata","Red"
"381",-0.583761056230105,"CORT Cold","delicata","Red"
"382",-0.298152304716672,"CORT Cold","delicata","Red"
"383",-0.329254160166422,"CORT Cold","delicata","Red"
"384",-0.312062961761747,"CORT Cold","delicata","Red"
"385",-0.437516255784324,"CORT Cold","delicata","Red"
"386",-0.607750443155646,"CORT Cold","delicata","Red"
"387",-0.203566361817635,"CORT Cold","delicata","Red"
"388",-0.405214085254775,"CORT Cold","delicata","Red"
"389",-0.307621301779126,"CORT Cold","delicata","Red"
"390",-0.463321283885715,"CORT Cold","delicata","Red"
"391",-0.31446252668223,"CORT Cold","delicata","Red"
"392",-0.417813420339507,"CORT Cold","delicata","Red"
"393",-0.500501875764195,"CORT Cold","delicata","Red"
"394",-0.645758287806005,"CORT Cold","delicata","Red"
"395",-0.110073110260618,"CORT Cold","delicata","Red"
"396",-0.780267396876971,"CORT Cold","delicata","Red"
"397",-0.588152506564778,"CORT Cold","delicata","Red"
"398",-0.0631979992135393,"CORT Cold","delicata","Red"
"399",-0.414240447389277,"CORT Cold","delicata","Red"
"400",-0.335500417381753,"CORT Cold","delicata","Red"
"401",-0.163795160156743,"CORT Cold","delicata","Red"
"402",-0.651651902214066,"CORT Cold","delicata","Red"
"403",-0.32103915004693,"CORT Cold","delicata","Red"
"404",-0.440227438005946,"CORT Cold","delicata","Red"
"405",-0.734298080891315,"CORT Cold","delicata","Red"
"406",-0.00528339107487932,"CORT Cold","delicata","Red"
"407",-0.203849721594557,"CORT Cold","delicata","Red"
"408",-0.892421476332877,"CORT Cold","delicata","Red"
"409",0.0863365149654289,"CORT Cold","delicata","Red"
"410",-0.330905862589818,"CORT Cold","delicata","Red"
"411",-0.51952163763263,"CORT Cold","delicata","Red"
"412",-0.513023677167599,"CORT Cold","delicata","Red"
"413",-0.78666697367211,"CORT Cold","delicata","Red"
"414",-0.705868313839298,"CORT Cold","delicata","Red"
"415",-0.572413070920076,"CORT Cold","delicata","Red"
"416",-0.449856813328157,"CORT Cold","delicata","Red"
"417",-0.411181083230423,"CORT Cold","delicata","Red"
"418",-0.601125955493172,"CORT Cold","delicata","Red"
"419",-0.822025018476949,"CORT Cold","delicata","Red"
"420",-0.45366191720767,"CORT Cold","delicata","Red"
"421",-0.389531064531426,"CORT Cold","delicata","Red"
"422",-0.32801741582493,"CORT Cold","delicata","Red"
"423",-0.115809458537514,"CORT Cold","delicata","Red"
"424",-0.240311011824173,"CORT Cold","delicata","Red"
"425",-0.206883057009717,"CORT Cold","delicata","Red"
"426",-0.123552387810622,"CORT Cold","delicata","Red"
"427",-0.386867740804865,"CORT Cold","delicata","Red"
"428",-0.351014761522913,"CORT Cold","delicata","Red"
"429",-0.442108919442121,"CORT Cold","delicata","Red"
"430",-0.208356482813482,"CORT Cold","delicata","Red"
"431",-0.392767847708015,"CORT Cold","delicata","Red"
"432",-0.408727893239387,"CORT Cold","delicata","Red"
"433",-0.378359161678,"CORT Cold","delicata","Red"
"434",-0.657746472413808,"CORT Cold","delicata","Red"
"435",0.0914456638618186,"CORT Cold","delicata","Red"
"436",0.149120416467973,"CORT Cold","delicata","Red"
"437",-0.510561759467603,"CORT Cold","delicata","Red"
"438",-0.185954703655841,"CORT Cold","delicata","Red"
"439",-0.240927227014841,"CORT Cold","delicata","Red"
"440",-0.345565919096297,"CORT Cold","delicata","Red"
"441",-0.389545689349883,"CORT Cold","delicata","Red"
"442",-0.465550334418968,"CORT Cold","delicata","Red"
"443",-0.617050190964417,"CORT Cold","delicata","Red"
"444",-0.564082356104391,"CORT Cold","delicata","Red"
"445",-0.285083537696656,"CORT Cold","delicata","Red"
"446",-0.263254742486222,"CORT Cold","delicata","Red"
"447",-0.351244986912303,"CORT Cold","delicata","Red"
"448",-0.347333158177681,"CORT Cold","delicata","Red"
"449",-0.45991247233895,"CORT Cold","delicata","Red"
"450",-0.0969742995384016,"CORT Cold","delicata","Red"
"451",-0.314295419858379,"CORT Cold","delicata","Red"
"452",-0.325350113968942,"CORT Cold","delicata","Red"
"453",-0.353777219330809,"CORT Cold","delicata","Red"
"454",-0.39857036972049,"CORT Cold","delicata","Red"
"455",-0.427527148942524,"CORT Cold","delicata","Red"
"456",-0.397625773174026,"CORT Cold","delicata","Red"
"457",-0.162491594716096,"CORT Cold","delicata","Red"
"458",-0.343412714719851,"CORT Cold","delicata","Red"
"459",-0.481282372305969,"CORT Cold","delicata","Red"
"460",-0.418446412645022,"CORT Cold","delicata","Red"
"461",-0.44732025336221,"CORT Cold","delicata","Red"
"462",-0.366530009231258,"CORT Cold","delicata","Red"
"463",-0.417769373432687,"CORT Cold","delicata","Red"
"464",-0.658478957951854,"CORT Cold","delicata","Red"
"465",-0.69827184656041,"CORT Cold","delicata","Red"
"466",-0.656550459091948,"CORT Cold","delicata","Red"
"467",-0.439519582072363,"CORT Cold","delicata","Red"
"468",-0.544617044515617,"CORT Cold","delicata","Red"
"469",-0.751536298316146,"CORT Cold","delicata","Red"
"470",-0.220484003447405,"CORT Cold","delicata","Red"
"471",-0.568892146890906,"CORT Cold","delicata","Red"
"472",-0.55467699126044,"CORT Cold","delicata","Red"
"473",-0.546975591426779,"CORT Cold","delicata","Red"
"474",-0.586190269366151,"CORT Cold","delicata","Red"
"475",-0.868242457144864,"CORT Cold","delicata","Red"
"476",0.115475530865228,"CORT Cold","delicata","Red"
"477",-0.390972862065461,"CORT Cold","delicata","Red"
"478",-0.384134218038097,"CORT Cold","delicata","Red"
"479",-0.571480814303986,"CORT Cold","delicata","Red"
"480",-0.612190893128758,"CORT Cold","delicata","Red"
"481",-0.501981116877797,"CORT Cold","delicata","Red"
"482",-0.604726044310834,"CORT Cold","delicata","Red"
"483",-0.62606586382265,"CORT Cold","delicata","Red"
"484",-0.276101973726421,"CORT Cold","delicata","Red"
"485",-0.327957188851563,"CORT Cold","delicata","Red"
"486",-0.275917176460113,"CORT Cold","delicata","Red"
"487",-0.625377161652026,"CORT Cold","delicata","Red"
"488",-0.336061304236611,"CORT Cold","delicata","Red"
"489",-0.25572098179686,"CORT Cold","delicata","Red"
"490",-0.358581112538555,"CORT Cold","delicata","Red"
"491",-0.320285265532356,"CORT Cold","delicata","Red"
"492",-0.185997862907497,"CORT Cold","delicata","Red"
"493",-0.413437886308136,"CORT Cold","delicata","Red"
"494",-0.347046183482418,"CORT Cold","delicata","Red"
"495",-0.467348948499418,"CORT Cold","delicata","Red"
"496",-0.117745837195544,"CORT Cold","delicata","Red"
"497",-0.746899546594593,"CORT Cold","delicata","Red"
